p_squared_Hd_squared,K_d,V_d_Hd_squared
2.341667300000000012e+02,6.517075833333333321e+02,1.603121002415229214e+03
2.350000600000000190e+02,6.540223888888888268e+02,1.613993839722317489e+03
2.358333900000000085e+02,6.563371944444444352e+02,1.624903327970763712e+03
2.366667199999999980e+02,6.586520000000000437e+02,1.635849467160569020e+03
2.375000500000000159e+02,6.609668055555556521e+02,1.646832257291732503e+03
2.383333800000000053e+02,6.632816111111110331e+02,1.657851698364254844e+03
2.391667100000000232e+02,6.655964166666668689e+02,1.668907790378136497e+03
2.400000400000000127e+02,6.679112222222222499e+02,1.680000533333375643e+03
2.408333700000000022e+02,6.702260277777777446e+02,1.691129927229973646e+03
2.416667000000000201e+02,6.725408333333334667e+02,1.702295972067930734e+03
2.425000300000000095e+02,6.748556388888889614e+02,1.713498667847246224e+03
2.433333599999999990e+02,6.771704444444444562e+02,1.724738014567920118e+03
2.441666900000000169e+02,6.794852500000000646e+02,1.736014012229952641e+03
2.450000200000000063e+02,6.818000555555555593e+02,1.747326660833343794e+03
2.458333499999999958e+02,6.841148611111111677e+02,1.758675960378093578e+03
2.466666800000000137e+02,6.864296666666666624e+02,1.770061910864202446e+03
2.475000100000000032e+02,6.887444722222222708e+02,1.781484512291669489e+03
2.483333400000000211e+02,6.910592777777777656e+02,1.792943764660495162e+03
2.491666700000000105e+02,6.933740833333332603e+02,1.804439667970679693e+03
2.500000000000000000e+02,6.956888888888888687e+02,1.815972222222222172e+03
