ln_a,Q,H,Q_prime,H_prime,D_s,Xi_s,W_s,scaled_constraint_residual
9.210340371976183382e-03,1.153159781547891116e+00,1.231408361559206188e+00,-6.745551392052993867e-02,-5.409013711185504114e-01,2.482360140418199990e+01,2.570481417940275293e+01,1.578955155848572378e+00,1.368414101795801989e-14
9.498163508600439980e-03,1.153140368519639747e+00,1.231252734162437079e+00,-6.744002523705444618e-02,-5.405085864172527454e-01,2.480505978949003776e+01,2.568630004574248815e+01,1.578644999066852517e+00,8.352564462878947252e-15
9.785986645224694844e-03,1.153120959947295354e+00,1.231097219780944663e+00,-6.742455112955121621e-02,-5.401160605308957807e-01,2.478652843289723862e+01,2.566779614169287882e+01,1.578335079865307522e+00,1.058893030138713520e-14
1.007380978184894971e-02,1.153101555826659297e+00,1.230941818340251626e+00,-6.740909159612114288e-02,-5.397237933387385445e-01,2.476800732908062130e+01,2.564930246196015062e+01,1.578025398081984054e+00,1.725794454794329340e-15
1.036163291847320631e-02,1.153082156153536930e+00,1.230786529765917958e+00,-6.739364663488817131e-02,-5.393317847200591597e-01,2.474949647271419906e+01,2.563081900124750234e+01,1.577715953555016704e+00,8.943742382766564406e-15
1.064945605509746290e-02,1.153062760923735608e+00,1.230631353983536957e+00,-6.737821624396495013e-02,-5.389400345541416337e-01,2.473099585848217785e+01,2.561234575426828286e+01,1.577406746122628434e+00,2.550033035234688475e-15
1.093727919172171777e-02,1.153043370133061352e+00,1.230476290918738114e+00,-6.736280042149263292e-02,-5.385485427202891806e-01,2.471250548106375788e+01,2.559388271573081397e+01,1.577097775623129472e+00,2.746492897024853650e-16
1.122510232834597263e-02,1.153023983777320183e+00,1.230321340497183780e+00,-6.734739916561745254e-02,-5.381573090978171159e-01,2.469402533514201536e+01,2.557542988034726505e+01,1.576789041894915533e+00,4.630313666174494994e-15
1.151292546497022923e-02,1.153004601852320121e+00,1.230166502644572279e+00,-6.733201247448879212e-02,-5.377663335660511912e-01,2.467555541540475872e+01,2.555698724283450218e+01,1.576480544776472037e+00,3.531985019236094353e-16
1.180074860159448583e-02,1.152985224353870519e+00,1.230011777286637464e+00,-6.731664034628373483e-02,-5.373756160043378083e-01,2.465709571653501442e+01,2.553855479790458105e+01,1.576172284106370558e+00,3.453877488018154299e-15
