ln_a,zeta_obs,Phi_N,Psi_N,delta_b_N,delta_gamma_N,delta_nu_N,zeta,u,delta_b,delta_gamma,delta_nu,vartheta_b,vartheta_gamma,vartheta_nu,alpha
1.036163291847320700e-01,-4.192052787770899659e-09,-6.151429785648069855e-05,-5.359660457734312908e-06,1.008203430531099176e+00,1.582319177228271338e-03,1.582319177228271338e-03,-4.192052787770899659e-09,-5.363852510522083478e-06,1.008219522088630749e+00,1.603774587270359597e-03,1.603774587270359597e-03,-6.727146998518534570e-09,-5.573401522410783120e-06,-5.573401522410783120e-06,4.258056022565017400e-08
1.059189142777261089e-01,-4.105961254972786236e-09,-8.244908735052284784e-05,-5.189340240677803264e-06,1.006676996325536644e+00,1.518348242841446698e-03,1.518348242841446698e-03,-4.105961254972786236e-09,-5.193446201932775866e-06,1.006692576664142358e+00,1.539122027649177842e-03,1.539122027649177842e-03,-6.589213487582203050e-09,-4.662486942084655967e-06,-4.662486942084655967e-06,7.236041985545296296e-08
1.082214993707201478e-01,-3.977842229427721498e-09,-1.023320909238299568e-04,-4.972137077760935368e-06,1.005211167435665853e+00,1.195956082883713320e-03,1.195956082883713320e-03,-3.977842229427721498e-09,-4.976114919990362890e-06,1.005226095780425766e+00,1.215860542563674792e-03,1.215860542563674792e-03,-6.383699283710961241e-09,-3.864938134554961262e-06,-3.864938134554961262e-06,1.013686963877298428e-07
1.105240844637142006e-01,-3.809025051099065886e-09,-1.209222793787901814e-04,-4.710784769294393059e-06,1.003818704212905200e+00,7.034205964749977143e-04,7.034205964749977143e-04,-3.809025051099065886e-09,-4.714593794345491899e-06,1.003832847994288180e+00,7.222789716523796751e-04,7.222789716523796751e-04,-6.112846852768297096e-09,-3.306720318771075951e-06,-3.306720318771075951e-06,1.292425484359479158e-07
1.128266695567082534e-01,-3.601329654441471753e-09,-1.379782993585390420e-04,-4.408573507695226173e-06,1.002511384788721482e+00,1.640757418497871840e-04,1.640757418497871840e-04,-3.601329654441471753e-09,-4.412174837349667872e-06,1.002524621313233499e+00,1.817244411991858521e-04,1.817244411991858521e-04,-5.779749310419244550e-09,-3.051855946381507051e-06,-3.051855946381507051e-06,1.556076442642974987e-07
1.151292546497022923e-01,-3.357095203010467217e-09,-1.532785114564725703e-04,-4.069327374956751382e-06,1.001299858603168058e+00,-2.908591875992323468e-04,-2.908591875992323468e-04,-3.357095203010467217e-09,-4.072684470159762040e-06,1.001312076656578620e+00,-2.745684497185933021e-04,-2.745684497185933021e-04,-5.388345130998682789e-09,-3.089746676221042302e-06,-3.089746676221042302e-06,1.801056573056627294e-07
1.174318397426963312e-01,-3.079169299145155171e-09,-1.666401610684049145e-04,-3.697335911319791449e-06,1.000193515418392298e+00,-5.507771550983165841e-04,-5.507771550983165841e-04,-3.079169299145155171e-09,-3.700415080618936541e-06,1.000204616663634249e+00,-5.359754947758407989e-04,-5.359754947758407989e-04,-4.943348553803202178e-09,-3.338812944287003624e-06,-3.338812944287003624e-06,2.024217021452493838e-07
1.197344248356903840e-01,-2.770854795220962027e-09,-1.779337889497034652e-04,-3.297246424985318077e-06,9.992003818760758493e-01,-5.493542415307791542e-04,-5.493542415307791542e-04,-2.770854795220962027e-09,-3.300017279780539017e-06,9.992102819279151671e-01,-5.361541724116569490e-04,-5.361541724116569490e-04,-4.450122308354071143e-09,-3.665443218538663779e-06,-3.665443218538663779e-06,2.223062510316698368e-07
1.220370099286844368e-01,-2.435819821055520094e-09,-1.870901268319116446e-04,-2.873931492545454932e-06,9.983270543234313843e-01,-2.783931559162784665e-04,-2.783931559162784665e-04,-2.435819821055520094e-09,-2.876367312366510426e-06,9.983356834253684919e-01,-2.668876866668124350e-04,-2.668876866668124350e-04,-3.914510519115729656e-09,-3.913971805269587112e-06,-3.913971805269587112e-06,2.395873902011884288e-07
1.243395950216784757e-01,-2.077983812863634459e-09,-1.940983912516410545e-04,-2.432350575266107008e-06,9.975786716219198214e-01,2.109630031728694033e-04,2.109630031728694033e-04,-2.077983812863634459e-09,-2.434428559078970452e-06,9.975859749075970395e-01,2.207007174091852784e-04,2.207007174091852784e-04,-3.342656811539450712e-09,-3.941110448165003760e-06,-3.941110448165003760e-06,2.541714203615254888e-07
