ln_a,a,Q,H_over_Hd,Q_prime,H_prime_over_Hd,D_over_Hd2,Xi_over_Hd2,Bq_over_Hd,Sigma_A,friedmann_scaled_residual,current_scaled_residual
-31.30038465418228,2.5492689906376403e-14,4.906903962603076,3.1018179339790516e+20,-0.37500000000000233,-4.774350184746747e+20,4.828842019818106e+41,4.828842019818106e+41,0.0,0.0625,-6.310279188005337e-15,-6.248866360452519e-15
-31.231482702251892,2.731111310108281e-14,4.88106573062918,2.7896787583104496e+20,-0.3750000000000024,-4.29449659378506e+20,3.9270984121820145e+41,3.9270984121820145e+41,0.0,0.0625,-6.321996779620008e-15,-6.3046041089534884e-15
-31.1625807503215,2.925924653535957e-14,4.855227498655284,2.508913448618999e+20,-0.3749999999999998,-3.8628202039845526e+20,3.1937474607097484e+41,3.1937474607097484e+41,0.0,0.0625,6.04994209524107e-16,6.056462933213731e-16
-31.093678798391107,3.134634259132445e-14,4.829389266681386,2.2563719084657843e+20,-0.37499999999999967,-3.474488714268298e+20,2.597343323800819e+41,2.597343323800819e+41,0.0,0.0625,9.48359893816678e-16,8.936583594437774e-16
-31.024776846460718,3.358231363426332e-14,4.80355103470749,2.0292200197311588e+20,-0.3749999999999996,-3.1251540871757975e+20,2.112312393101229e+41,2.112312393101229e+41,0.0,0.0625,8.101921100945771e-16,9.1571744676627e-16
-30.955874894530325,3.5977779089996904e-14,4.7777128027335936,1.824907975796554e+20,-0.3749999999999996,-2.8109040583837404e+20,1.7178567057972825e+41,1.7178567057972825e+41,0.0,0.0625,7.129154723604066e-16,9.007881995538985e-16
-30.886972942599932,3.8544115880329614e-14,4.751874570759697,1.64114178573078e+20,-0.3749999999999997,-2.528218498055851e+20,1.3970621349809351e+41,1.3970621349809351e+41,0.0,0.0625,8.923085257330338e-16,6.922674600331226e-16
-30.81807099066954,4.1293512456118794e-14,4.726036338785799,1.475857632186206e+20,-0.37499999999999967,-2.2739301388969106e+20,1.1361731175893453e+41,1.1361731175893453e+41,0.0,0.0625,7.654855625430576e-16,8.512264906810298e-16
-30.74916903873915,4.423902668458483e-14,4.700198106811903,1.327198797437447e+20,-0.37499999999999967,-2.0451892342620792e+20,9.240028204975484e+40,9.240028204975484e+40,0.0,0.0625,1.0355072236891933e-15,8.373486610535898e-16
-30.680267086808758,4.7394647865791274e-14,4.674359874838006,1.1934949005511791e+20,-0.3749999999999996,-1.8394317533065616e+20,7.514534528848203e+40,7.514534528848203e+40,0.0,0.0625,9.808899468893328e-16,9.009186881572023e-16
-30.611365134878366,5.0775363172830925e-14,4.648521642864108,1.0732432143787573e+20,-0.3749999999999997,-1.654350759437986e+20,6.111261560310454e+40,6.111261560310454e+40,0.0,0.0625,1.0638831553293617e-15,7.912774196843346e-16
-30.542463182947973,5.4397228831269254e-14,4.622683410890213,9.650918541968568e+19,-0.374999999999997,-1.4878706536872316e+20,4.970037427488332e+40,4.970037427488332e+40,0.0,0.0625,8.056029227831604e-15,7.978363837674125e-15
-30.473561231017584,5.827744637589919e-14,4.596845178916316,8.678246506431537e+19,-0.37499999999999967,-1.3381239964362362e+20,4.041926824251268e+40,4.041926824251268e+40,0.0,0.0625,8.816386575455901e-16,8.3746995977543515e-16
-30.40465927908719,6.243444434698003e-14,4.571006946942419,7.80347538334883e+19,-0.3749999999999997,-1.203430649585427e+20,3.2871326807810866e+40,3.2871326807810866e+40,0.0,0.0625,7.884907689898533e-16,7.355503638066504e-16
-30.3357573271568,6.688796581396195e-14,4.545168714968521,7.0167630842484105e+19,-0.37499999999999967,-1.0822790070257816e+20,2.673289678632537e+40,2.673289678632537e+40,0.0,0.0625,8.108886684724594e-16,9.044480508622087e-16
-30.266855375226406,7.165916214238161e-14,4.519330482994623,6.3092558853088076e+19,-0.37499999999999967,-9.733091044873316e+19,2.1740764367884014e+40,2.1740764367884014e+40,0.0,0.0625,6.798029196274305e-16,8.89702532373137e-16
-30.197953423296017,7.677069344925797e-14,4.4934922510207285,5.672989271379396e+19,-0.3749999999999996,-8.752974207242404e+19,1.7680868597137891e+40,1.7680868597137891e+40,0.0,0.0625,1.034715541369976e-15,9.572471726499089e-16
-30.129051471365624,8.224683622408988e-14,4.46765401904683,5.1007987186902426e+19,-0.3749999999999996,-7.871432007977874e+19,1.4379122511950299e+40,1.4379122511950299e+40,0.0,0.0625,7.480400812597479e-16,8.407507611190508e-16
-30.06014951943523,8.811359862658171e-14,4.441815787072934,4.58623942089296e+19,-0.37499999999999967,-7.078561491413428e+19,1.1693948353145283e+40,1.1693948353145283e+40,0.0,0.0625,9.600677717939104e-16,8.270437208075874e-16
-29.991247567504843,9.439884400869219e-14,4.415977555099038,4.123514062680395e+19,-0.37499999999999967,-6.365453553225274e+19,9.510206757914433e+39,9.510206757914433e+39,0.0,0.0625,5.937133222478169e-16,8.898314151014533e-16
-29.92234561557445,1.0113242324765477e-13,4.390139323125141,3.707407834884584e+19,-0.3749999999999997,-5.7240932912767435e+19,7.734259622752216e+39,7.734259622752216e+39,0.0,0.0625,1.0369756005928524e-15,7.815394611646331e-16
-29.853443663644057,1.0834631651846303e-13,4.364301091151243,3.3332299656320446e+19,-0.3749999999999996,-5.147270339325721e+19,6.289954933140964e+39,6.289954933140964e+39,0.0,0.0625,8.037116866782065e-16,9.609972030522464e-16
-29.784541711713665,1.1607478517915568e-13,4.338462859177345,2.9967611147494875e+19,-0.3749999999999996,-4.628498184296343e+19,5.115361390838049e+39,5.115361390838049e+39,0.0,0.0625,9.158402901737934e-16,9.45329744858219e-16
-29.715639759783272,1.2435453449025352e-13,4.312624627203449,2.6942060439618515e+19,-0.37499999999999967,-4.161941567774263e+19,4.160112820682832e+39,4.160112820682832e+39,0.0,0.0625,8.338695081859551e-16,8.717978610610362e-16
-29.646737807852883,1.3322488794116316e-13,4.286786395229552,2.4221510342375203e+19,-0.3749999999999997,-3.7423511623520715e+19,3.383248485983185e+39,3.383248485983185e+39,0.0,0.0625,7.189406119290977e-16,7.146538745960959e-16
-29.57783585592249,1.427279740114876e-13,4.260948163255656,2.1775255745643246e+19,-0.37499999999999967,-3.3650047944242516e+19,2.7514567059334543e+39,2.7514567059334543e+39,0.0,0.0625,6.767060124189438e-16,8.787532923978836e-16
-29.5089339039921,1.5290892625423324e-13,4.23510993128176,1.95756789407313e+19,-0.37499999999999967,-3.0256545579081724e+19,2.2376464619701602e+39,2.2376464619701602e+39,0.0,0.0625,1.1800087479979484e-15,9.45466685770763e-16
-29.44003195206171,1.6381609765119185e-13,4.209271699307863,1.7597939522936168e+19,-0.3749999999999997,-2.720479228959169e+19,1.8197857440278667e+39,1.8197857440278667e+39,0.0,0.0625,7.891188897333224e-16,8.304039524859284e-16
-29.371130000131316,1.755012902585331e-13,4.183433467333965,1.5819695409047372e+19,-0.37499999999999967,-2.446041450780168e+19,1.479956825374129e+39,1.479956825374129e+39,0.0,0.0625,7.810480133392345e-16,8.168655996495141e-16
-29.302228048200924,1.8802000123329026e-13,4.157595235360066,1.4220851850599301e+19,-0.3750000000000024,-2.1992492107560243e+19,1.2035879565269936e+39,1.2035879565269936e+39,0.0,0.0625,-6.307773489177101e-15,-6.152164123099124e-15
-29.23332609627053,2.0143168640919797e-13,4.131757003386171,1.2783335636100948e+19,-0.37499999999999967,-1.977321179958788e+19,9.788285335490493e+38,9.788285335490493e+38,0.0,0.0625,9.714973523424862e-16,9.26305612918197e-16
-29.164424144340142,2.1580004267370087e-13,4.1059187714122745,1.1490891956633887e+19,-0.3749999999999997,-1.777755528104834e+19,7.960409481451035e+38,7.960409481451035e+38,0.0,0.0625,9.824780103578647e-16,9.491705659360319e-16
-29.09552219240975,2.31193310487246e-13,4.080080539438378,1.0328901662229582e+19,-0.37499999999999967,-1.5983018657742768e+19,6.473873302672795e+38,6.473873302672795e+38,0.0,0.0625,7.58040854731123e-16,8.169839311854268e-16
-29.026620240479357,2.4768459798162043e-13,4.05424230746448,9.284216864122175e+18,-0.37499999999999967,-1.4369360005593893e+19,5.2649346288929065e+38,5.2649346288929065e+38,0.0,0.0625,9.867152989344347e-16,8.610689672529026e-16
-28.957718288548968,2.6535222817660645e-13,4.028404075490585,8.345013042873923e+18,-0.3749999999999997,-1.2918372251778353e+19,4.2817545772902625e+38,4.2817545772902625e+38,0.0,0.0625,7.665895977868905e-16,7.058588937036333e-16
