ln_a,a,Q,H_over_Hd,Q_prime,H_prime_over_Hd,D_over_Hd2,Xi_over_Hd2,Bq_over_Hd,Sigma_A,friedmann_scaled_residual,current_scaled_residual
-32.88512954858129,5.2260035496622794e-15,5.501183298002705,5.3688321836879425e+26,-0.3749999999999998,-1.0737664367263848e+27,5.60506800114474e+43,5.60506800114474e+43,0.0,0.0625,5.232868654240957e-17,7.067546950196084e-16
-32.8162275966509,5.5987804557175106e-15,5.475345066028809,4.67769988037565e+26,-0.37499999999999967,-9.355399760647243e+26,4.558371045714366e+43,4.558371045714366e+43,0.0,0.0625,-7.842963514221383e-18,8.690402966291227e-16
-32.747325644720505,5.998147971665667e-15,5.449506834054911,4.0755373649690355e+26,-0.3749999999999997,-8.151074729841436e+26,3.7071355041835503e+43,3.7071355041835503e+43,0.0,0.0625,-1.1333971368352739e-16,9.35016296568436e-16
-32.67842369279012,6.426002836609882e-15,5.423668602081016,3.550891514640488e+26,-0.37499999999999967,-7.101783029191232e+26,3.014860683467003e+43,3.014860683467003e+43,0.0,0.0625,-7.199599743847979e-17,8.212253694335122e-16
-32.609521740859726,6.884377086257756e-15,5.39783037010712,3.093783572474457e+26,-0.37499999999999967,-6.1875671448655714e+26,2.4518620726049827e+43,2.4518620726049827e+43,0.0,0.0625,-1.7824739406619218e-16,8.078366581005138e-16
-32.540619788929334,7.375447703785089e-15,5.371992138133222,2.695519351647391e+26,-0.3749999999999997,-5.391038703217388e+26,1.9939984809399279e+43,1.9939984809399279e+43,0.0,0.0625,-1.4671462331571373e-17,8.691661862162397e-16
-32.47171783699894,7.901546959107415e-15,5.346153906159324,2.348523872112737e+26,-0.3749999999999997,-4.697047744153602e+26,1.621636871998433e+43,1.621636871998433e+43,0.0,0.0625,3.848600327132083e-17,7.633891783428667e-16
-32.40281588506855,8.46517348566355e-15,5.320315674185427,2.046197284583862e+26,-0.37499999999999967,-4.092394569100985e+26,1.3188105055051563e+43,1.3188105055051563e+43,0.0,0.0625,-3.8833504841007935e-18,9.386792371745634e-16
-32.333913933138156,9.069004147319025e-15,5.294477442211531,1.7827893414906636e+26,-0.3749999999999997,-3.565578682919356e+26,1.072534288941875e+43,1.072534288941875e+43,0.0,0.0625,1.111975003878566e-16,8.079536816997079e-16
-32.26501198120776,9.71590675174954e-15,5.268639210237633,1.5532900273492356e+26,-0.3749999999999997,-3.106580054640929e+26,8.722479811573957e+42,8.722479811573957e+42,0.0,0.0625,-1.3804997578523717e-16,8.515514390593902e-16
-32.19611002927738,1.0408953670684754e-14,5.242800978263738,1.3533342683357361e+26,-0.3749999999999998,-2.706668536618043e+26,7.093633727866819e+42,7.093633727866819e+42,0.0,0.0625,-3.5675485640533904e-17,6.980569264083787e-16
-32.127208077346985,1.1151436431700264e-14,5.216962746289842,1.1791189086417298e+26,-0.37499999999999967,-2.3582378172338502e+26,5.768960267280791e+42,5.768960267280791e+42,0.0,0.0625,3.7302186444115667e-17,8.583453391464493e-16
-32.05830612541659,1.1946881350858317e-14,5.191124514315944,1.0273303745027228e+26,-0.37499999999999967,-2.0546607489593853e+26,4.6916578783483566e+42,4.6916578783483566e+42,0.0,0.0625,1.1921918218692484e-16,9.235093968582678e-16
-31.9894041734862,1.2799066280443699e-14,5.165286282342046,8.950816500702838e+25,-0.37499999999999967,-1.790163300097804e+26,3.815532197770436e+42,3.815532197770436e+42,0.0,0.0625,-9.820335261186364e-17,9.733426230884043e-16
-31.920502221555807,1.3712038551334705e-14,5.1394480503681494,7.79857366410017e+25,-0.37499999999999956,-1.5597147327803325e+26,3.103015251689277e+42,3.103015251689277e+42,0.0,0.0625,-5.751974216684509e-17,1.1968423667380758e-15
-31.851600269625415,1.469013419522437e-14,5.113609818394253,6.794659592187457e+25,-0.3749999999999997,-1.3589319184006326e+26,2.5235545536328297e+42,2.5235545536328297e+42,0.0,0.0625,-5.757887676029426e-17,7.358311538202814e-16
-31.782698317695026,1.5737998537985e-14,5.087771586420357,5.919979853013708e+25,-0.37499999999999967,-1.1839959705685236e+26,2.0523030241936724e+42,2.0523030241936724e+42,0.0,0.0625,9.505329567623137e-17,9.047933161125805e-16
-31.713796365764633,1.6860608261981636e-14,5.061933354446459,5.157898049873332e+25,-0.3749999999999997,-1.0315796099429013e+26,1.669053556639402e+42,1.669053556639402e+42,0.0,0.0625,-2.4260244376178617e-16,7.417018072073983e-16
-31.64489441383424,1.806329504211537e-14,5.036095122472562,4.4939193972680365e+25,-0.3749999999999997,-8.987838794241196e+25,1.357372542987488e+42,1.357372542987488e+42,0.0,0.0625,-2.3875105614939074e-16,9.120119938191437e-16
-31.575992461903848,1.93517708678537e-14,5.010256890498664,3.915415030284219e+25,-0.3749999999999996,-7.83083006029471e+25,1.1038952064342632e+42,1.1038952064342632e+42,0.0,0.0625,1.2380003035825229e-16,8.410717104779136e-16
-31.50709050997346,2.0732155171510374e-14,4.984418658524767,3.4113818037546752e+25,-0.3750000000000022,-6.8227636072552645e+25,8.977525242307675e+41,8.977525242307675e+41,0.0,0.0625,-8.95184713434733e-17,-6.032829232659807e-15
-31.438188558043066,2.2211003891617353e-14,4.9585804265508715,2.972233012587541e+25,-0.3749999999999998,-5.944466024939235e+25,7.30105167650912e+41,7.30105167650912e+41,0.0,0.0625,1.8132069216336172e-16,6.358365004121988e-16
