index,Q_exact,Q_approx,a_approx,H_over_sqrt_kappa_approx,Qdot_over_sqrt_kappa_approx,sqrt_kappa_dNT_dH_approx
27,101/100 + 27/20000,1.01135,4.449645246970820101392726603010292077831611896725902872990118910154791049869060087602,-0.06168508358917467117133676633008808234389344930377996304241568264136239630700399627086,0.002100106520382920860622696081023231211673389190211334264178712468153255466059980353313,0.3577198548091540162389298957964191733670480527527031619681967511364798097850749945809
28,101/100 + 28/20000,1.0114,4.44312954125238794379575252451798153630725375799386808518536562882841103457867583368,-0.06182159056105850542244715504832837576942074183815301023489616861570801929478946218309,0.002114023622968502306860619920509193689468736578814195356343262619629507488316585367985,0.3584576969182102769422921245928926263994394914653220851398959917944937332119210874782
29,101/100 + 29/20000,1.01145,4.436651821926958468978799891335889179488608526700819870333992304413217224661260490706,-0.06195780373709940157616066589784387114822868689595637121246556691897000382877790909432,0.002127971539400535824539080862553812018127029208999694607070803317795616378518280020467,0.3591936063022430373902550955886800190511343528166281344769376151232224637653665157476
30,101/100 + 30/20000,1.0115,4.43021170304673123563079511767391267302784619685347827137312577592067560013374487331,-0.06209372505181330236865774739915753533157364188177457762184754991463349015641174470836,0.002141950203905294402049972488216207887789648423733432096221518589877426155768180294302,0.3599275949927968837677839074393915959823218962371847121270848173106386667521596119601
31,101/100 + 31/20000,1.01155,4.423808804241237374504068067552453171457451259412721727200480931431353149965882596814,-0.06222935641869006229763937627588260395207763424352725573357180989638282182368053490929,0.002155959551140524983582318739960967482122085731219954146353264838676404594635224777357,0.360659674892587364150242232241015580138331648131830563873355638985094952099370691799
32,101/100 + 32/20000,1.0116,4.417442750613014669432239464860604239885088779993705043042876645307075793599277229772,-0.06236469973051183448513762216526164998603013090530481904454398843365627992648803601436,0.002169999516190760169081587711229443614768598772042979002737648739891128120383647246891,0.3613898577774399477895115850110951539463791709217495738847811855255443643188211116599
33,101/100 + 33/20000,1.01165,4.411113172635674057730242384397113786428560913298655121075036063531526939865768289291,-0.06249975685966528685956843271433253035865631628124942916351653873889062315384159542641,0.002184070034562700787771658591073434904695074738550235007710947923122884110789858905708,0.3621181552981915296810969259177718730914826304860725876236377187211638897898535440973
34,101/100 + 34/20000,1.0117,4.404819706054292732106231484065122504373912090548092749279578130420972704795385250998,-0.0626345296584477931877252469407856988809287101257976976878540915948856489163929397343,0.002198171042180667974252983851033792312903972382792867061159717803814881598198938392138,0.3628445789825553619029764160570961533818225002484871541491656638403721245920994306089
35,101/100 + 35/20000,1.01175,4.398561991788071051791277391219653826387689762348584896201140365695797417785239044135,-0.06276901995936774044865958400492542530641398368896858319336400911780486825808504642047,0.002212302475382123408459784655674083271468362246019179755134227354300185456652006050519,0.3635691402369502687892732275883538885110744773834726256288653793424077543802327291704
36,101/100 + 36/20000,1.0118,4.392339675835192424542449908316170923427979850591199053427257671012564997109760197487,-0.06290322957543909013141536750036730839634248931505261663954218955932590347969100461416,0.002226464270913256412134693610550718126732176943574149760447326009551748868107523432329,0.3642918503482949793521844321062245126619491112884693184592975365762673803961213999566
